gene_id	symbol	description	locus	human_gene_id	human_gene_name
LOC111098447	LOC111098447	"uncharacterized LOC111098447, transcript variant X2"	13:25542458-25555209	<none>	<none>
LOC111098449	LOC111098449	"uncharacterized LOC111098449, transcript variant X2"	13:26651151-26746934	<none>	<none>
LOC111098450	LOC111098450	uncharacterized LOC111098450	13:27216632-27221870	<none>	<none>
LOC111098451	LOC111098451	"uncharacterized LOC111098451, transcript variant X2"	13:28120772-28138851	<none>	<none>
LOC111098452	LOC111098452	"uncharacterized LOC111098452, transcript variant X2"	13:28478930-28487225	<none>	<none>
LOC111098453	LOC111098453	uncharacterized LOC111098453	13:28544696-28563883	<none>	<none>
LOC111098454	LOC111098454	uncharacterized LOC111098454	13:32353132-32370058	<none>	<none>
LOC111098457	LOC111098457	uncharacterized protein LOC111098457	13:36765150-36767755	<none>	<none>
LOC111098458	LOC111098458	uncharacterized LOC111098458	13:37040626-37044285	<none>	<none>
LOC111098461	LOC111098461	uncharacterized LOC111098461	13:41347637-41362018	<none>	<none>
LOC111098462	LOC111098462	uncharacterized LOC111098462	13:41310966-41325897	<none>	<none>
LOC111098463	LOC111098463	uncharacterized LOC111098463	13:41294274-41347530	<none>	<none>
LOC111098465	LOC111098465	uncharacterized LOC111098465	13:42157233-42167432	<none>	<none>
LOC111098467	LOC111098467	"uncharacterized LOC111098467, transcript variant X1"	13:42693075-42781308	<none>	<none>
LOC111098468	LOC111098468	"uncharacterized LOC111098468, transcript variant X3"	13:42655163-42743110	<none>	<none>
LOC111098471	LOC111098471	uncharacterized LOC111098471	13:48066961-48071038	<none>	<none>
LOC111098472	LOC111098472	"uncharacterized LOC111098472, transcript variant X2"	13:49726776-49759432	<none>	<none>
LOC111098473	LOC111098473	"uncharacterized LOC111098473, transcript variant X3"	13:50512226-50514281	<none>	<none>
LOC111098474	LOC111098474	"uncharacterized LOC111098474, transcript variant X4"	13:51451413-51527068	<none>	<none>
LOC111098476	LOC111098476	uncharacterized LOC111098476	13:52691766-52725182	<none>	<none>
LOC111098477	LOC111098477	uncharacterized LOC111098477	13:54951188-54957903	<none>	<none>
LOC111098478	LOC111098478	"uncharacterized LOC111098478, transcript variant X4"	13:55171028-55201600	<none>	<none>
LOC111098479	LOC111098479	uncharacterized LOC111098479	13:60414964-60436445	<none>	<none>
LOC111098482	LOC111098482	uncharacterized gene	13:15087823-15088271	<none>	<none>
LOC111098483	LOC111098483	uncharacterized LOC111098483	13:24354726-24355896	<none>	<none>
LOC111098485	LOC111098485	uncharacterized LOC111098485	13:608751-627343	<none>	<none>
LOC111098495	LOC111098495	"uncharacterized LOC111098495, transcript variant X4"	13:3298521-3312739	<none>	<none>
LOC111098498	LOC111098498	uncharacterized LOC111098498	13:3602548-3625313	<none>	<none>
LOC111098499	LOC111098499	"uncharacterized LOC111098499, transcript variant X4"	1:123338613-123376196	<none>	<none>
LOC111098508	LOC111098508	uncharacterized LOC111098508	13:5335873-5430372	<none>	<none>
LOC111098510	LOC111098510	uncharacterized LOC111098510	13:6955161-6957740	<none>	<none>
LOC111098511	LOC111098511	"uncharacterized LOC111098511, transcript variant X2"	13:6811830-6899083	<none>	<none>
LOC111098515	LOC111098515	uncharacterized LOC111098515	13:7750154-7753842	<none>	<none>
LOC111098516	LOC111098516	uncharacterized gene	13:8013287-8016931	<none>	<none>
LOC111098519	LOC111098519	uncharacterized LOC111098519	13:8594337-8611742	<none>	<none>
LOC111098520	LOC111098520	uncharacterized LOC111098520	13:9163346-9183174	<none>	<none>
LOC111098522	LOC111098522	"uncharacterized LOC111098522, transcript variant X1"	13:9446355-9459348	<none>	<none>
LOC111098525	LOC111098525	uncharacterized LOC111098525	13:10306888-10311359	<none>	<none>
LOC111098526	LOC111098526	"uncharacterized LOC111098526, transcript variant X3"	13:11407620-11518723	<none>	<none>
LOC111098527	LOC111098527	"uncharacterized LOC111098527, transcript variant X1"	13:13122359-13126716	<none>	<none>
LOC111098528	LOC111098528	"uncharacterized LOC111098528, transcript variant X2"	13:12690306-12730169	<none>	<none>
LOC111098529	LOC111098529	"uncharacterized LOC111098529, transcript variant X4"	13:13978740-14103216	<none>	<none>
LOC111098530	LOC111098530	uncharacterized gene	1:59504289-59504565	<none>	<none>
LOC111098532	LOC111098532	"uncharacterized LOC111098532, transcript variant X13"	13:18334191-18443967	<none>	<none>
LOC111098533	LOC111098533	uncharacterized LOC111098533	13:18700746-18720277	<none>	<none>
LOC111098534	LOC111098534	uncharacterized LOC111098534	13:18772876-18780578	<none>	<none>
LOC111098547	LOC111098547	uncharacterized LOC111098547	13:23632003-23644130	<none>	<none>
LOC111098551	LOC111098551	"uncharacterized LOC111098551, transcript variant X4"	13:24746953-24828739	<none>	<none>
LOC111098554	LOC111098554	"uncharacterized LOC111098554, transcript variant X2"	13:28046906-28093515	<none>	<none>
LOC111098557	LOC111098557	uncharacterized LOC111098557	13:29713174-29718056	<none>	<none>
LOC111098560	LOC111098560	uncharacterized LOC111098560	13:31476908-31495945	<none>	<none>
LOC111098561	LOC111098561	uncharacterized LOC111098561	13:31483705-31505488	<none>	<none>
LOC111098562	LOC111098562	uncharacterized LOC111098562	13:31792586-31807042	<none>	<none>
LOC111098563	LOC111098563	"uncharacterized LOC111098563, transcript variant X10"	13:31823736-31907687	<none>	<none>
LOC111098564	LOC111098564	uncharacterized protein LOC111098564	1:74670536-74703935	<none>	<none>
LOC111098565	LOC111098565	uncharacterized LOC111098565	13:32054241-32056396	<none>	<none>
LOC111098566	LOC111098566	"uncharacterized LOC111098566, transcript variant X6"	13:32623643-32648769	<none>	<none>
LOC111098567	LOC111098567	uncharacterized LOC111098567	13:33579812-33616943	<none>	<none>
LOC111098568	LOC111098568	uncharacterized LOC111098568	13:33780840-33815564	<none>	<none>
LOC111098569	LOC111098569	uncharacterized LOC111098569	13:34427603-34431920	<none>	<none>
LOC111098570	LOC111098570	uncharacterized LOC111098570	13:34986778-35046630	<none>	<none>
LOC111098571	LOC111098571	"uncharacterized LOC111098571, transcript variant X3"	13:35055724-35064895	<none>	<none>
LOC111098576	LOC111098576	"uncharacterized LOC111098576, transcript variant X7"	13:36091667-36109739	<none>	<none>
LOC111098578	LOC111098578	"uncharacterized LOC111098578, transcript variant X2"	13:36574514-36577180	<none>	<none>
LOC111098579	LOC111098579	"uncharacterized LOC111098579, transcript variant X4"	13:36895556-36914650	<none>	<none>
LOC111098582	LOC111098582	uncharacterized LOC111098582	13:37782113-37783923	<none>	<none>
LOC111098585	LOC111098585	uncharacterized gene	1:75418184-75422988	<none>	<none>
LOC111098589	LOC111098589	uncharacterized LOC111098589	13:38185612-38187932	<none>	<none>
LOC111098598	LOC111098598	uncharacterized LOC111098598	13:39517673-39521974	<none>	<none>
LOC111098600	LOC111098600	uncharacterized LOC111098600	13:39697026-39703877	<none>	<none>
LOC111098602	LOC111098602	uncharacterized LOC111098602	13:39994974-40010317	<none>	<none>
LOC111098607	LOC111098607	uncharacterized LOC111098607	13:41599717-41601930	<none>	<none>
LOC111098609	LOC111098609	"uncharacterized LOC111098609, transcript variant X2"	13:43222749-43242582	<none>	<none>
LOC111098613	LOC111098613	"uncharacterized LOC111098613, transcript variant X2"	13:46133619-46145507	<none>	<none>
LOC111098616	LOC111098616	uncharacterized LOC111098616	13:46389876-46419168	<none>	<none>
LOC111098617	LOC111098617	uncharacterized protein LOC111098617	13:46975076-46997047	<none>	<none>
LOC111098618	LOC111098618	uncharacterized LOC111098618	13:46965123-46974981	<none>	<none>
LOC111098624	LOC111098624	uncharacterized LOC111098624	13:49152005-49187637	<none>	<none>
LOC111098625	LOC111098625	"uncharacterized LOC111098625, transcript variant X1"	13:49635724-49636849	<none>	<none>
LOC111098626	LOC111098626	"uncharacterized LOC111098626, transcript variant X8"	13:50613056-50631699	<none>	<none>
LOC111098627	LOC111098627	"uncharacterized LOC111098627, transcript variant X5"	13:51064279-51080089	<none>	<none>
LOC111098628	LOC111098628	"uncharacterized LOC111098628, transcript variant X6"	13:52834725-53024726	<none>	<none>
LOC111098629	LOC111098629	uncharacterized LOC111098629	13:52932573-52936777	<none>	<none>
LOC111098630	LOC111098630	"uncharacterized LOC111098630, transcript variant X4"	13:56826741-56835931	<none>	<none>
LOC111098631	LOC111098631	uncharacterized LOC111098631	13:58737574-58800503	<none>	<none>
LOC111098634	LOC111098634	"uncharacterized LOC111098634, transcript variant X2"	13:59088445-59094141	<none>	<none>
LOC111098635	LOC111098635	uncharacterized gene	13:59131561-59132574	<none>	<none>
LOC111098636	LOC111098636	soluble scavenger receptor cysteine-rich domain-containing protein SSC5D-like	13:60881365-60891597	<none>	<none>
LOC111098638	LOC111098638	"uncharacterized LOC111098638, transcript variant X3"	13:62739877-62769657	<none>	<none>
LOC111098639	LOC111098639	"uncharacterized LOC111098639, transcript variant X2"	13:62669693-62720214	<none>	<none>
LOC111098640	LOC111098640	uncharacterized LOC111098640	13:63875550-63876131	<none>	<none>
LOC111098641	LOC111098641	"uncharacterized LOC111098641, transcript variant X1"	13:63973503-63994581	<none>	<none>
LOC111098644	LOC111098644	collagen alpha-1(I) chain-like	13:1130787-1136890	<none>	<none>
LOC111098645	LOC111098645	uncharacterized gene	13:2315598-2316117	<none>	<none>
LOC111098646	LOC111098646	uncharacterized gene	13:7017488-7027392	<none>	<none>
LOC111098648	LOC111098648	uncharacterized gene	13:21025818-21070571	<none>	<none>
LOC111098661	LOC111098661	"uncharacterized LOC111098661, transcript variant X4"	14:9676753-9701763	<none>	<none>
LOC111098662	LOC111098662	uncharacterized LOC111098662	14:9807903-9855945	<none>	<none>
LOC111098663	LOC111098663	"uncharacterized LOC111098663, transcript variant X3"	14:10055132-10219346	<none>	<none>
LOC111098665	LOC111098665	"uncharacterized LOC111098665, transcript variant X2"	14:52103559-52144466	<none>	<none>
LOC111098666	LOC111098666	uncharacterized gene	14:58059197-58059826	<none>	<none>
LOC111098667	LOC111098667	uncharacterized LOC111098667	14:18494450-18511376	<none>	<none>
LOC111098668	LOC111098668	uncharacterized LOC111098668	14:20097778-20156103	<none>	<none>
LOC111098669	LOC111098669	uncharacterized LOC111098669	14:20198432-20207345	<none>	<none>
LOC111098670	LOC111098670	"uncharacterized LOC111098670, transcript variant X2"	14:20681927-20685735	<none>	<none>
LOC111098671	LOC111098671	uncharacterized gene	14:22517246-22517874	<none>	<none>
LOC111098672	LOC111098672	"uncharacterized LOC111098672, transcript variant X2"	14:25201839-25360966	<none>	<none>
LOC111098675	LOC111098675	"uncharacterized LOC111098675, transcript variant X3"	14:31400877-31420012	<none>	<none>
LOC111098676	LOC111098676	uncharacterized LOC111098676	14:33566176-33583236	<none>	<none>
LOC111098677	LOC111098677	uncharacterized gene	14:33621005-33621675	<none>	<none>
LOC111098678	LOC111098678	"uncharacterized LOC111098678, transcript variant X2"	14:34093824-34106166	<none>	<none>
LOC111098680	LOC111098680	uncharacterized LOC111098680	14:35118963-35123199	<none>	<none>
LOC111098686	LOC111098686	uncharacterized LOC111098686	14:39133521-39138340	<none>	<none>
LOC111098688	LOC111098688	uncharacterized LOC111098688	14:39788397-39796077	<none>	<none>
LOC111098689	LOC111098689	"uncharacterized LOC111098689, transcript variant X2"	14:39827861-39839365	<none>	<none>
LOC111098690	LOC111098690	"uncharacterized LOC111098690, transcript variant X2"	14:40473570-40491581	<none>	<none>
LOC111098691	LOC111098691	"uncharacterized LOC111098691, transcript variant X1"	14:41491383-41493131	<none>	<none>
LOC111098692	LOC111098692	"uncharacterized LOC111098692, transcript variant X2"	14:42652618-42663162	<none>	<none>
LOC111098693	LOC111098693	uncharacterized LOC111098693	14:44093456-44098805	<none>	<none>
LOC111098695	LOC111098695	uncharacterized LOC111098695	14:49367315-49390161	<none>	<none>
LOC111098696	LOC111098696	uncharacterized LOC111098696	14:49581602-49585299	<none>	<none>
LOC111098697	LOC111098697	uncharacterized LOC111098697	14:49712204-49714849	<none>	<none>
LOC111098698	LOC111098698	uncharacterized LOC111098698	14:49718094-49734056	<none>	<none>
LOC111098701	LOC111098701	"uncharacterized LOC111098701, transcript variant X5"	14:56868689-56893662	<none>	<none>
LOC111098702	LOC111098702	uncharacterized LOC111098702	14:57093356-57094210	<none>	<none>
LOC111098704	LOC111098704	uncharacterized LOC111098704	14:57146289-57150755	<none>	<none>
LOC111098705	LOC111098705	uncharacterized LOC111098705	14:57388832-57403116	<none>	<none>
LOC111098706	LOC111098706	"uncharacterized LOC111098706, transcript variant X13"	14:57736749-57759206	<none>	<none>
LOC111098707	LOC111098707	uncharacterized LOC111098707	14:58278278-58288191	<none>	<none>
LOC111098708	LOC111098708	"uncharacterized LOC111098708, transcript variant X3"	14:58541828-58545153	<none>	<none>
LOC111098711	LOC111098711	"uncharacterized LOC111098711, transcript variant X3"	14:60234624-60237599	<none>	<none>
LOC111098712	LOC111098712	uncharacterized LOC111098712	14:54915001-54925169	<none>	<none>
LOC111098714	LOC111098714	uncharacterized LOC111098714	14:247276-249660	<none>	<none>
LOC111098719	LOC111098719	uncharacterized LOC111098719	1:100305967-100308597	<none>	<none>
LOC111098723	LOC111098723	uncharacterized LOC111098723	14:4562304-4565907	<none>	<none>
LOC111098724	LOC111098724	"uncharacterized LOC111098724, transcript variant X2"	14:5732106-5743651	<none>	<none>
LOC111098725	LOC111098725	uncharacterized LOC111098725	14:5706347-5732472	<none>	<none>
LOC111098728	LOC111098728	uncharacterized LOC111098728	14:6459321-6474408	<none>	<none>
LOC111098731	LOC111098731	"uncharacterized LOC111098731, transcript variant X2"	14:8007693-8022468	<none>	<none>
LOC111098732	LOC111098732	uncharacterized LOC111098732	14:8172370-8178767	<none>	<none>
LOC111098735	LOC111098735	uncharacterized LOC111098735	14:11250540-11253578	<none>	<none>
LOC111098737	LOC111098737	"uncharacterized LOC111098737, transcript variant X3"	14:11954238-12000565	<none>	<none>
LOC111098738	LOC111098738	uncharacterized LOC111098738	14:12097679-12187568	<none>	<none>
LOC111098739	LOC111098739	"uncharacterized LOC111098739, transcript variant X1"	14:13413645-13421315	<none>	<none>
LOC111098743	LOC111098743	"uncharacterized LOC111098743, transcript variant X3"	14:15919897-15968276	<none>	<none>
LOC111098746	LOC111098746	uncharacterized LOC111098746	14:16871367-16876080	<none>	<none>
LOC111098747	LOC111098747	uncharacterized LOC111098747	14:16192601-16217896	<none>	<none>
LOC111098748	LOC111098748	uncharacterized LOC111098748	14:16935076-16945229	<none>	<none>
LOC111098755	LOC111098755	"uncharacterized LOC111098755, transcript variant X2"	14:18933097-19018113	<none>	<none>
LOC111098757	LOC111098757	"uncharacterized LOC111098757, transcript variant X2"	14:19104765-19200052	<none>	<none>
LOC111098759	LOC111098759	"uncharacterized LOC111098759, transcript variant X3"	14:19701768-19729792	<none>	<none>
LOC111098763	LOC111098763	uncharacterized LOC111098763	14:20741459-20742390	<none>	<none>
LOC111098764	LOC111098764	"uncharacterized LOC111098764, transcript variant X6"	14:20944288-21025311	<none>	<none>
LOC111098765	LOC111098765	uncharacterized LOC111098765	14:21179205-21202126	<none>	<none>
LOC111098771	LOC111098771	"uncharacterized LOC111098771, transcript variant X2"	14:23939356-24009577	<none>	<none>
LOC111098775	LOC111098775	uncharacterized LOC111098775	14:30139074-30145814	<none>	<none>
LOC111098777	LOC111098777	uncharacterized LOC111098777	14:30966367-30969704	<none>	<none>
LOC111098781	LOC111098781	uncharacterized gene	14:33075861-33077104	<none>	<none>
LOC111098782	LOC111098782	"uncharacterized LOC111098782, transcript variant X7"	14:32563957-32590784	<none>	<none>
LOC111098783	LOC111098783	uncharacterized LOC111098783	14:32695768-32704535	<none>	<none>
LOC111098784	LOC111098784	uncharacterized LOC111098784	14:32604359-32649360	<none>	<none>
LOC111098786	LOC111098786	"uncharacterized LOC111098786, transcript variant X2"	14:32849856-32861737	<none>	<none>
